ID,Name,Sex,Age,Height,Weight,IMC,Team,NOC,Year,Season,City,City_in_Country,Sport,Event,Medal,proba_No,proba_Yes,prediction
,Vanina Paoletti,F,26,163,63.0,23.71,France,FRA,2024,Summer,Paris,True,Canoeing,"Kayak Singles, 500 metres",,0.49199597706695897,0.508004022933041,No
,Camille Prigent,F,26,161,53.0,20.45,France,FRA,2024,Summer,Paris,True,Canoeing,"Kayak Singles, Slalom",,0.4774569947414754,0.5225430052585248,No
,Gwendal Bisch,M,25,180,72.0,22.22,France,FRA,2024,Summer,Paris,True,Diving,Springboard,,0.4594985445521875,0.5405014554478124,No
,Jules Bouyer,M,21,180,78.0,24.07,France,FRA,2024,Summer,Paris,True,Diving,Springboard,,0.4567646611194788,0.5432353388805213,No
,Souleyman Alaphilippe,M,20,183,68.0,20.31,France,FRA,2024,Summer,Paris,True,Taekwondo,Heavyweight,,0.4282334261179878,0.5717665738820124,No
,Althéa Laurin,F,22,184,73.0,21.56,France,FRA,2024,Summer,Paris,True,Taekwondo,Heavyweight,,0.41911003883844494,0.5808899611615552,Yes
,Cyrian Ravet,M,21,177,58.0,18.51,France,FRA,2024,Summer,Paris,True,Taekwondo,Featherweight,,0.42197302106607115,0.5780269789339292,Yes
,Magda Wiet-Hénin,F,28,173,65.0,21.72,France,FRA,2024,Summer,Paris,True,Taekwondo,Heavyweight,,0.43586140330392664,0.5641385966960737,No
,Koumba Larroque,F,25,172,68.0,22.99,France,FRA,2024,Summer,Paris,True,Wrestling,"Middleweight, Freestyle",,0.41611864589304826,0.583881354106952,Yes
,Océane Cassignol,F,24,168,64.0,22.68,France,FRA,2024,Summer,Paris,True,Swimming,10 kilometres Open Water,,0.4688964611469888,0.5311035388530114,No
,Caroline Jouisse,F,30,176,64.0,20.66,France,FRA,2024,Summer,Paris,True,Swimming,10 kilometres Open Water,,0.451131799689866,0.5488682003101343,No
,Marc-Antoine Olivier,M,27,184,63.0,18.61,France,FRA,2024,Summer,Paris,True,Swimming,10 kilometres Open Water,,0.4912962520100505,0.5087037479899494,No
,Logan Fontaine,M,25,184,75.0,22.15,France,FRA,2024,Summer,Paris,True,Swimming,10 kilometres Open Water,,0.42929351886127526,0.5707064811387248,No
,Clarisse Agbégnénou,F,31,164,63.0,23.42,France,FRA,2024,Summer,Paris,True,Judo,Middleweight,,0.4626408331747146,0.5373591668252856,No
,Shirine Boukli,F,25,156,48.0,19.72,France,FRA,2024,Summer,Paris,True,Judo,Extra-Lightweight,,0.46642212740771394,0.5335778725922863,No
,Amandine Buchard,F,28,160,52.0,20.31,France,FRA,2024,Summer,Paris,True,Judo,Half-Lightweight,,0.4501380851780961,0.549861914821904,No
,Aurélien Diesse,M,26,190,100.0,27.7,France,FRA,2024,Summer,Paris,True,Judo,Half-Heavyweight,,0.35753726087882937,0.6424627391211705,Yes
,Sarah-Léonie Cysique,F,25,163,57.0,21.45,France,FRA,2024,Summer,Paris,True,Judo,Lightweight,,0.4059103040868615,0.5940896959131388,Yes
,Romane Dicko,F,24,180,78.0,24.07,France,FRA,2024,Summer,Paris,True,Judo,Heavyweight,,0.4118075474871633,0.5881924525128365,Yes
,Alpha Djalo,M,27,170,81.0,28.03,France,FRA,2024,Summer,Paris,True,Judo,Light-Heavyweight,,0.3743295865853082,0.6256704134146918,Yes
,Joan-Benjamin Gaba,M,23,170,73.0,25.26,France,FRA,2024,Summer,Paris,True,Judo,Lightweight,,0.41531711220202694,0.5846828877979731,Yes
,Marie-Eve Gahié,F,27,176,70.0,22.6,France,FRA,2024,Summer,Paris,True,Judo,Half-Middleweight,,0.41422332430940095,0.585776675690599,Yes
,Madeleine Malonga,F,30,182,78.0,23.55,France,FRA,2024,Summer,Paris,True,Judo,Half-Heavyweight,,0.4078187445214472,0.592181255478553,Yes
,Luka Mkheidze,M,28,160,60.0,23.44,France,FRA,2024,Summer,Paris,True,Judo,Extra-Lightweight,,0.4454186162311251,0.554581383768875,No
,Maxime-Gaël N’Gayap-Hambou,M,22,189,90.0,25.2,France,FRA,2024,Summer,Paris,True,Judo,Half-Middleweight,,0.3812873000705278,0.6187126999294722,Yes
,Teddy Riner,M,35,204,139.0,33.4,France,FRA,2024,Summer,Paris,True,Judo,Heavyweight,,0.4085647219597844,0.5914352780402152,Yes
,Walide Khyar,M,29,171,59.0,20.18,France,FRA,2024,Summer,Paris,True,Judo,Half-Lightweight,,0.4525764496372766,0.5474235503627234,No
,Sara Balzer,F,29,177,66.0,21.07,France,FRA,2024,Summer,Paris,True,Fencing,"Sabre, Individual",,0.5479958491037673,0.45200415089623247,No
,Cécilia Berder,F,34,174,67.0,22.13,France,FRA,2024,Summer,Paris,True,Fencing,"Sabre, Individual",,0.5666249894473774,0.4333750105526224,No
,Manon Apithy-Brunet,F,28,170,55.0,19.03,France,FRA,2024,Summer,Paris,True,Fencing,"Sabre, Individual",,0.5587006463093889,0.44129935369061096,No
,Enzo Lefort,M,32,190,77.0,21.33,France,FRA,2024,Summer,Paris,True,Fencing,"Foil, Individual",,0.5775823378700915,0.42241766212990856,No
,Julien Mertine,M,35,185,80.0,23.37,France,FRA,2024,Summer,Paris,True,Fencing,"Foil, Individual",,0.6006958367510495,0.3993041632489507,No
,Maxime Pauty,M,30,178,85.0,26.83,France,FRA,2024,Summer,Paris,True,Fencing,"Foil, Individual",,0.5312466800640204,0.4687533199359797,No
,Marie-Florence Candassamy,F,33,185,67.0,19.58,France,FRA,2024,Summer,Paris,True,Fencing,"epee, Individual",,0.6008501413129831,0.3991498586870167,No
,Coraline Vitalis,F,29,179,72.0,22.47,France,FRA,2024,Summer,Paris,True,Fencing,"epee, Individual",,0.5830392847321436,0.4169607152678563,No
,Boladé Apithy,M,38,180,80.0,24.69,France,FRA,2024,Summer,Paris,True,Fencing,"Sabre, Individual",,0.5657708358648232,0.434229164135177,No
,Yannick Borel,M,35,196,97.0,25.25,France,FRA,2024,Summer,Paris,True,Fencing,"epee, Individual",,0.566311924600967,0.43368807539903315,No
