ID;Name;Sex;Age;Height;Weight;IMC;Team;NOC;Year;Season;City;City_in_Country;Sport;Event;Medal
F49;Clarisse Agbégnénou;F;31;164;63;23,42;France;FRA;2024;Summer;Paris;True;Judo;Middleweight;
F50;Shirine Boukli;F;25;156;48;19,72;France;FRA;2024;Summer;Paris;True;Judo;Extra-Lightweight;
F51;Amandine Buchard;F;28;160;52;20,31;France;FRA;2024;Summer;Paris;True;Judo;Half-Lightweight;
F52;Aurélien Diesse;M;26;190;100;27,7;France;FRA;2024;Summer;Paris;True;Judo;Half-Heavyweight;
F53;Sarah-Léonie Cysique;F;25;163;57;21,45;France;FRA;2024;Summer;Paris;True;Judo;Lightweight;
F54;Romane Dicko;F;24;180;78;24,07;France;FRA;2024;Summer;Paris;True;Judo;Heavyweight;
F55;Alpha Djalo;M;27;170;81;28,03;France;FRA;2024;Summer;Paris;True;Judo;Light-Heavyweight;
F56;Joan-Benjamin Gaba;M;23;170;73;25,26;France;FRA;2024;Summer;Paris;True;Judo;Lightweight;
F57;Marie-Eve Gahié;F;27;176;70;22,6;France;FRA;2024;Summer;Paris;True;Judo;Half-Middleweight;
F58;Madeleine Malonga;F;30;182;78;23,55;France;FRA;2024;Summer;Paris;True;Judo;Half-Heavyweight;
F59;Luka Mkheidze;M;28;160;60;23,44;France;FRA;2024;Summer;Paris;True;Judo;Extra-Lightweight;
F60;Maxime-Gaël N’Gayap-Hambou;M;22;189;90;25,2;France;FRA;2024;Summer;Paris;True;Judo;Half-Middleweight;
F61;Teddy Riner;M;35;204;139;33,4;France;FRA;2024;Summer;Paris;True;Judo;Heavyweight;
F62;Walide Khyar;M;29;171;59;20,18;France;FRA;2024;Summer;Paris;True;Judo;Half-Lightweight;
F63;Sara Balzer;F;29;177;66;21,07;France;FRA;2024;Summer;Paris;True;Fencing;Sabre, Individual;
F64;Cécilia Berder;F;34;174;67;22,13;France;FRA;2024;Summer;Paris;True;Fencing;Sabre, Individual;
F65;Manon Apithy-Brunet;F;28;170;55;19,03;France;FRA;2024;Summer;Paris;True;Fencing;Sabre, Individual;
F66;Enzo Lefort;M;32;190;77;21,33;France;FRA;2024;Summer;Paris;True;Fencing;Foil, Individual;
F67;Julien Mertine;M;35;185;80;23,37;France;FRA;2024;Summer;Paris;True;Fencing;Foil, Individual;
F68;Maxime Pauty;M;30;178;85;26,83;France;FRA;2024;Summer;Paris;True;Fencing;Foil, Individual;
F69;Marie-Florence Candassamy;F;33;185;67;19,58;France;FRA;2024;Summer;Paris;True;Fencing;epee, Individual;
F70;Coraline Vitalis;F;29;179;72;22,47;France;FRA;2024;Summer;Paris;True;Fencing;epee, Individual;
F71;Boladé Apithy;M;38;180;80;24,69;France;FRA;2024;Summer;Paris;True;Fencing;Sabre, Individual;
F72;Yannick Borel;M;35;196;97;25,25;France;FRA;2024;Summer;Paris;True;Fencing;epee, Individual;
